"Degree (family, score)","Harmonic (family, score)","Eigenvector (family, score)","Betweenness (family, score)"
"('Medici', '0.429')","('Medici', '9.500')","('Medici', '0.430')","('Medici', '0.522')"
"('Strozzi', '0.286')","('Guadagni', '8.083')","('Strozzi', '0.356')","('Guadagni', '0.255')"
"('Guadagni', '0.286')","('Ridolfi', '8.000')","('Ridolfi', '0.342')","('Albizzi', '0.212')"
"('Castellani', '0.214')","('Albizzi', '7.833')","('Tornabuoni', '0.326')","('Salviati', '0.143')"
"('Peruzzi', '0.214')","('Tornabuoni', '7.833')","('Guadagni', '0.289')","('Ridolfi', '0.114')"
"('Ridolfi', '0.214')","('Strozzi', '7.833')","('Bischeri', '0.283')","('Bischeri', '0.104')"
"('Tornabuoni', '0.214')","('Bischeri', '7.200')","('Peruzzi', '0.276')","('Strozzi', '0.103')"
"('Albizzi', '0.214')","('Barbadori', '7.083')","('Castellani', '0.259')","('Barbadori', '0.093')"
"('Bischeri', '0.214')","('Castellani', '6.917')","('Albizzi', '0.244')","('Tornabuoni', '0.092')"
"('Barbadori', '0.143')","('Peruzzi', '6.783')","('Barbadori', '0.212')","('Castellani', '0.055')"
"('Salviati', '0.143')","('Salviati', '6.583')","('Salviati', '0.146')","('Peruzzi', '0.022')"
"('Acciaiuoli', '0.071')","('Acciaiuoli', '5.917')","('Acciaiuoli', '0.132')","('Acciaiuoli', '0.000')"
"('Pazzi', '0.071')","('Lamberteschi', '5.367')","('Lamberteschi', '0.089')","('Pazzi', '0.000')"
"('Ginori', '0.071')","('Ginori', '5.333')","('Ginori', '0.075')","('Ginori', '0.000')"
"('Lamberteschi', '0.071')","('Pazzi', '4.767')","('Pazzi', '0.045')","('Lamberteschi', '0.000')"
