PASSENGERS,UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,ORIGIN_AIRPORT_ID,ORIGIN,DEST_AIRPORT_ID,DEST,YEAR
0.00,1BQ,"Eastern Airlines f/k/a Dynamic Airways, LLC",10540,BED,12339,IND,2025
0.00,1BQ,"Eastern Airlines f/k/a Dynamic Airways, LLC",10747,BRO,13198,MCI,2025
0.00,1BQ,"Eastern Airlines f/k/a Dynamic Airways, LLC",10792,BUF,13198,MCI,2025
0.00,1BQ,"Eastern Airlines f/k/a Dynamic Airways, LLC",10821,BWI,12478,JFK,2025
0.00,1BQ,"Eastern Airlines f/k/a Dynamic Airways, LLC",11066,CMH,11995,GSO,2025
0.00,1BQ,"Eastern Airlines f/k/a Dynamic Airways, LLC",11066,CMH,12884,LAN,2025
0.00,1BQ,"Eastern Airlines f/k/a Dynamic Airways, LLC",11066,CMH,13198,MCI,2025
0.00,1BQ,"Eastern Airlines f/k/a Dynamic Airways, LLC",11973,GPT,11973,GPT,2025
0.00,1BQ,"Eastern Airlines f/k/a Dynamic Airways, LLC",11995,GSO,11066,CMH,2025
0.00,1BQ,"Eastern Airlines f/k/a Dynamic Airways, LLC",12173,HNL,12549,JRF,2025
0.00,1BQ,"Eastern Airlines f/k/a Dynamic Airways, LLC",12206,HRL,13667,NGU,2025
0.00,1BQ,"Eastern Airlines f/k/a Dynamic Airways, LLC",12478,JFK,11982,GRK,2025
0.00,1BQ,"Eastern Airlines f/k/a Dynamic Airways, LLC",12549,JRF,12173,HNL,2025
0.00,1BQ,"Eastern Airlines f/k/a Dynamic Airways, LLC",13198,MCI,11066,CMH,2025
0.00,1BQ,"Eastern Airlines f/k/a Dynamic Airways, LLC",13198,MCI,12206,HRL,2025
0.00,1BQ,"Eastern Airlines f/k/a Dynamic Airways, LLC",13198,MCI,12206,HRL,2025
0.00,1BQ,"Eastern Airlines f/k/a Dynamic Airways, LLC",13198,MCI,12478,JFK,2025
0.00,1BQ,"Eastern Airlines f/k/a Dynamic Airways, LLC",13930,ORD,13198,MCI,2025
0.00,1BQ,"Eastern Airlines f/k/a Dynamic Airways, LLC",14100,PHL,13198,MCI,2025
0.00,1BQ,"Eastern Airlines f/k/a Dynamic Airways, LLC",14843,SJU,12206,HRL,2025
0.00,1YQ,"Air Charter, Inc d/b/a Air Flamenco",11126,CPX,14843,SJU,2025
0.00,1YQ,"Air Charter, Inc d/b/a Air Flamenco",11126,CPX,14843,SJU,2025
0.00,1YQ,"Air Charter, Inc d/b/a Air Flamenco",11126,CPX,14843,SJU,2025
0.00,1YQ,"Air Charter, Inc d/b/a Air Flamenco",11126,CPX,15626,VQS,2025
0.00,1YQ,"Air Charter, Inc d/b/a Air Flamenco",14843,SJU,11126,CPX,2025
0.00,1YQ,"Air Charter, Inc d/b/a Air Flamenco",14843,SJU,11126,CPX,2025
0.00,1YQ,"Air Charter, Inc d/b/a Air Flamenco",14843,SJU,11126,CPX,2025
0.00,1YQ,"Air Charter, Inc d/b/a Air Flamenco",14843,SJU,11126,CPX,2025
0.00,1YQ,"Air Charter, Inc d/b/a Air Flamenco",14843,SJU,15024,STT,2025
0.00,1YQ,"Air Charter, Inc d/b/a Air Flamenco",14843,SJU,15024,STT,2025
0.00,1YQ,"Air Charter, Inc d/b/a Air Flamenco",14843,SJU,15024,STT,2025
0.00,1YQ,"Air Charter, Inc d/b/a Air Flamenco",14843,SJU,15024,STT,2025
0.00,1YQ,"Air Charter, Inc d/b/a Air Flamenco",14843,SJU,15027,STX,2025
0.00,1YQ,"Air Charter, Inc d/b/a Air Flamenco",14843,SJU,15027,STX,2025
0.00,1YQ,"Air Charter, Inc d/b/a Air Flamenco",14843,SJU,15027,STX,2025
0.00,1YQ,"Air Charter, Inc d/b/a Air Flamenco",14843,SJU,15027,STX,2025
0.00,1YQ,"Air Charter, Inc d/b/a Air Flamenco",14843,SJU,15626,VQS,2025
0.00,1YQ,"Air Charter, Inc d/b/a Air Flamenco",14843,SJU,15626,VQS,2025
0.00,1YQ,"Air Charter, Inc d/b/a Air Flamenco",14843,SJU,15626,VQS,2025
0.00,1YQ,"Air Charter, Inc d/b/a Air Flamenco",14843,SJU,15626,VQS,2025
0.00,1YQ,"Air Charter, Inc d/b/a Air Flamenco",15024,STT,14843,SJU,2025
0.00,1YQ,"Air Charter, Inc d/b/a Air Flamenco",15024,STT,14843,SJU,2025
0.00,1YQ,"Air Charter, Inc d/b/a Air Flamenco",15024,STT,14843,SJU,2025
0.00,1YQ,"Air Charter, Inc d/b/a Air Flamenco",15027,STX,11126,CPX,2025
0.00,1YQ,"Air Charter, Inc d/b/a Air Flamenco",15027,STX,14843,SJU,2025
0.00,1YQ,"Air Charter, Inc d/b/a Air Flamenco",15027,STX,14843,SJU,2025
0.00,1YQ,"Air Charter, Inc d/b/a Air Flamenco",15027,STX,14843,SJU,2025
0.00,1YQ,"Air Charter, Inc d/b/a Air Flamenco",15027,STX,15024,STT,2025
0.00,1YQ,"Air Charter, Inc d/b/a Air Flamenco",15626,VQS,11126,CPX,2025
0.00,1YQ,"Air Charter, Inc d/b/a Air Flamenco",15626,VQS,14843,SJU,2025
0.00,1YQ,"Air Charter, Inc d/b/a Air Flamenco",15626,VQS,14843,SJU,2025
0.00,1YQ,"Air Charter, Inc d/b/a Air Flamenco",15626,VQS,14843,SJU,2025
0.00,27Q,"Jet Aviation Flight Services, Inc.",10208,AGS,13898,OPF,2025
0.00,27Q,"Jet Aviation Flight Services, Inc.",10325,APA,10800,BUR,2025
0.00,27Q,"Jet Aviation Flight Services, Inc.",10325,APA,14530,RIL,2025
0.00,27Q,"Jet Aviation Flight Services, Inc.",10372,ASE,10325,APA,2025
0.00,27Q,"Jet Aviation Flight Services, Inc.",10372,ASE,11292,DEN,2025
0.00,27Q,"Jet Aviation Flight Services, Inc.",10372,ASE,11292,DEN,2025
0.00,27Q,"Jet Aviation Flight Services, Inc.",10372,ASE,13232,MDW,2025
0.00,27Q,"Jet Aviation Flight Services, Inc.",10397,ATL,12191,HOU,2025
0.00,27Q,"Jet Aviation Flight Services, Inc.",10423,AUS,12266,IAH,2025
0.00,27Q,"Jet Aviation Flight Services, Inc.",10423,AUS,14831,SJC,2025
0.00,27Q,"Jet Aviation Flight Services, Inc.",10519,BCT,13898,OPF,2025
0.00,27Q,"Jet Aviation Flight Services, Inc.",10519,BCT,15030,SUA,2025
0.00,27Q,"Jet Aviation Flight Services, Inc.",10540,BED,14122,PIT,2025
0.00,27Q,"Jet Aviation Flight Services, Inc.",10540,BED,15167,TEB,2025
0.00,27Q,"Jet Aviation Flight Services, Inc.",10540,BED,15167,TEB,2025
0.00,27Q,"Jet Aviation Flight Services, Inc.",10559,BFI,10800,BUR,2025
0.00,27Q,"Jet Aviation Flight Services, Inc.",10559,BFI,12892,LAX,2025
0.00,27Q,"Jet Aviation Flight Services, Inc.",10559,BFI,14869,SLC,2025
0.00,27Q,"Jet Aviation Flight Services, Inc.",10559,BFI,15618,VNY,2025
0.00,27Q,"Jet Aviation Flight Services, Inc.",10561,BFL,15769,WJF,2025
0.00,27Q,"Jet Aviation Flight Services, Inc.",10599,BHM,12191,HOU,2025
0.00,27Q,"Jet Aviation Flight Services, Inc.",10599,BHM,12197,HPN,2025
0.00,27Q,"Jet Aviation Flight Services, Inc.",10670,BLM,15825,CWF,2025
0.00,27Q,"Jet Aviation Flight Services, Inc.",10721,BOS,14027,PBI,2025
0.00,27Q,"Jet Aviation Flight Services, Inc.",10800,BUR,10559,BFI,2025
0.00,27Q,"Jet Aviation Flight Services, Inc.",10800,BUR,12892,LAX,2025
0.00,27Q,"Jet Aviation Flight Services, Inc.",10800,BUR,12892,LAX,2025
0.00,27Q,"Jet Aviation Flight Services, Inc.",10800,BUR,14689,SBA,2025
0.00,27Q,"Jet Aviation Flight Services, Inc.",10800,BUR,14712,SCF,2025
0.00,27Q,"Jet Aviation Flight Services, Inc.",10800,BUR,14831,SJC,2025
0.00,27Q,"Jet Aviation Flight Services, Inc.",10800,BUR,15618,VNY,2025
0.00,27Q,"Jet Aviation Flight Services, Inc.",10821,BWI,12264,IAD,2025
